dataset,optimization,sample_size,training_accuracy(%),leaves,maximum_regularization,duration(s),source
adult,BinOCT,60,0.8166666666666667,4,0.125,12.258426547999989,[ $coupon \eq Bar$ [ $occupation \eq Computer & Mathematical$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $car \eq do not drive$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,60,0.8166666666666667,4,0.125,0.0365794549999805,[ $coupon \eq Bar$ [ $occupation \eq Office & Administrative Support$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $occupation \eq Computer & Mathematical$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,60,0.5166666666666667,2,0.25,0.7743634340000085,[ $coupon \eq Carry out & Take away$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,GOSDT,60,0.7,2,0.25,4.780557949000013,[ $occupation \eq Computer & Mathematical$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,70,0.6571428571428571,4,0.125,0.0019885149999936402,[ $occupation \eq Computer & Mathematical$ [ $passanger \eq Kid(s)$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $destination \eq Home$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,BinOCT,70,0.7428571428571429,4,0.125,24.222801187000016,[ $coupon \eq Coffee House$ [ $CoffeeHouse \eq less1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Restaurant20To50 \eq less1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,70,0.7428571428571429,4,0.125,0.023377706000019316,[ $coupon \eq Coffee House$ [ $Restaurant20To50 \eq less1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $occupation \eq Legal$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,OSDT,70,0.5571428571428572,1,0,0.5459627590000196,[ $class$ [ $1$ ] ]
adult,GOSDT,70,0.5571428571428572,1,0,6.311818109000001,[ $class$ [ $1$ ] ]
adult,CART,80,0.7125,4,0.125,0.002578867000011087,[ $coupon \eq Bar$ [ $occupation \eq Computer & Mathematical$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $passanger \eq Friend(s)$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,80,0.75,4,0.125,25.150720263999972,[ $passanger \eq Alone$ [ $occupation \eq Legal$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $coupon \eq Bar$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,DL8.5,80,0.75,4,0.125,0.013271260999999868,[ $passanger \eq Alone$ [ $coupon \eq Bar$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $occupation \eq Legal$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,OSDT,80,0.575,1,0,0.42886362699999836,[ $class$ [ $1$ ] ]
adult,GOSDT,80,0.575,1,0,5.3774649549999936,[ $class$ [ $1$ ] ]
adult,CART,90,0.7111111111111111,4,0.125,0.006234977000019626,[ $occupation \eq Computer & Mathematical$ [ $map \eq BAC2$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $coupon \eq Bar$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,BinOCT,90,0.7444444444444445,4,0.125,43.716350955999985,[ $occupation \eq Computer & Mathematical$ [ $time \eq 2PM$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $coupon \eq Bar$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,DL8.5,90,0.7444444444444445,4,0.125,0.012075583000012102,[ $occupation \eq Computer & Mathematical$ [ $coupon \eq Bar$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $time \eq 2PM$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,90,0.5444444444444444,1,0,1.2762217850000184,[ $class$ [ $1$ ] ]
adult,GOSDT,90,0.5444444444444444,1,0,11.570461297999998,[ $class$ [ $1$ ] ]
adult,CART,100,0.68,4,0.125,0.0037158559999852514,[ $occupation \eq Computer & Mathematical$ [ $passanger \eq Kid(s)$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $coupon \eq Bar$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,BinOCT,100,0.73,4,0.125,43.71368069699997,[ $occupation \eq Office & Administrative Support$ [ $coupon \eq Bar$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $coupon \eq Coffee House$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,DL8.5,100,0.73,4,0.125,0.018658057000038752,[ $occupation \eq Office & Administrative Support$ [ $coupon \eq Coffee House$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $coupon \eq Bar$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,OSDT,100,0.57,1,0,2.093418419000045,[ $class$ [ $1$ ] ]
adult,GOSDT,100,0.57,1,0,6.768948703999968,[ $class$ [ $1$ ] ]
