dataset,optimization,sample_size,training_accuracy(%),leaves,maximum_regularization,duration(s),source
adult,CART,8,1.0,2,0.125,0.0020489200000000096,[ $petal_width \ge 1.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,BinOCT,8,1.0,4,0.125,0.21209334300000005,[ $petal_width \ge 1.55$ [ $petal_width \ge 1.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_width \ge 1.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,8,1.0,2,0.125,0.02675996100000022,[ $petal_width \ge 1.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,OSDT,8,1.0,2,0.125,0.01170448600000018,[ $petal_length \ge 4.7$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,8,1.0,2,-0.12479999661445618,0.01594331899999979,[ $petal_width \ge 1.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,16,0.9375,3,0.0,0.004162932000000286,[ $petal_length \ge 4.4$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,16,1.0,4,0.0625,0.6406600490000001,[ $sepal_length \ge 5.95$ [ $petal_width \ge 1.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_width \ge 2.8$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,16,1.0,4,0.0625,0.007789901999999849,[ $sepal_length \ge 5.95$ [ $petal_width \ge 1.4$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_width \ge 1.85$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,16,0.9375,2,0.0625,0.0726868060000001,[ $petal_width \ge 1.4$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,16,0.9375,2,-0.12479999661445618,0.10138165100000007,[ $petal_width \ge 1.4$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,32,0.96875,3,0.15056818181818182,0.005020876999999757,[ $petal_width \ge 1.75$ [ $petal_length \ge 5.05$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
adult,BinOCT,32,1.0,4,0.125,3.787761154,[ $sepal_width \ge 2.75$ [ $petal_width \ge 1.6$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 5.05$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,32,1.0,4,0.125,0.00932531499999989,[ $sepal_width \ge 2.75$ [ $petal_length \ge 5.05$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_width \ge 1.6$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,32,0.9375,2,0.1875,0.01690834300000077,[ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,32,0.9375,2,-0.17593637108802795,0.04500151899999949,[ $petal_width \ge 1.6$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,64,0.96875,3,0.16666666666666666,0.0023638239999996813,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,64,1.0,4,0.125,1.507543329999999,[ $petal_width \ge 1.75$ [ $petal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 5.45$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,64,0.671875,1,0,0.0015148279999994685,[ $class$ [ $0$ ] ]
adult,OSDT,64,0.96875,2,0.25,0.0858146780000002,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,64,0.96875,2,0.04186666011810303,0.1126159229999999,[ $petal_width \ge 1.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,128,0.9609375,3,0.16666666666666666,0.003240794999999963,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,128,0.984375,4,0.125,27.388511846999997,[ $petal_length \ge 4.95$ [ $petal_width \ge 1.7000000000000002$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_width \ge 1.05$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,128,0.96875,4,0.125,0.017527682000000766,[ $sepal_length \ge 6.05$ [ $petal_length \ge 4.95$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_width \ge 1.85$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,128,0.9609375,2,0.25,0.06433059399999763,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,128,0.9609375,2,0.25,0.34302539800000176,[ $petal_width \ge 1.7000000000000002$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
