dataset,optimization,features,training_accuracy(%),leaves,regularization_upperbound,duration(s),source
adult,CART,1,0.6388888888888888,3,0.16666666666666666,0.003899713000009797,[ $coupon \eq Bar$ [ $coupon \eq Coffee House$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
adult,BinOCT,1,0.6388888888888888,4,0.125,0.4215235610000718,[ $coupon \eq Bar$ [ $coupon \eq Bar$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $coupon \eq Bar$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,DL8.5,1,0.6388888888888888,2,0.25,0.0038434680000136723,[ $coupon \eq Bar$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,OSDT,1,0.5740740740740741,1,0,0.006533429999990403,[ $class$ [ $1$ ] ]
adult,GOSDT,1,0.5740740740740741,1,0,0.021087291000071673,[ $class$ [ $1$ ] ]
adult,CART,2,0.6944444444444444,4,0.125,0.003920367999967311,[ $coupon \eq Bar$ [ $map \eq BAC2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $map \eq NAC1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,2,0.6944444444444444,4,0.125,1.13865290800004,[ $coupon \eq Bar$ [ $map \eq BAC2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $map \eq NAC1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,2,0.6944444444444444,4,0.125,0.004407102000072882,[ $coupon \eq Bar$ [ $map \eq NAC1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $map \eq BAC2$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,OSDT,2,0.5740740740740741,1,0,0.01816597999993519,[ $class$ [ $1$ ] ]
adult,GOSDT,2,0.5740740740740741,1,0,0.018650108999963777,[ $class$ [ $1$ ] ]
adult,CART,3,0.6944444444444444,4,0.125,0.004628826000043773,[ $coupon \eq Bar$ [ $map \eq BAC2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $map \eq NAC1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,3,0.6944444444444444,4,0.125,4.419493674000023,[ $coupon \eq Bar$ [ $map \eq BAC2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $map \eq NAC1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,3,0.6944444444444444,4,0.125,0.002696461000027739,[ $coupon \eq Bar$ [ $map \eq NAC1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $map \eq BAC2$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,OSDT,3,0.5740740740740741,1,0,0.056153524000023936,[ $class$ [ $1$ ] ]
adult,GOSDT,3,0.5740740740740741,1,0,0.024219860000016524,[ $class$ [ $1$ ] ]
adult,CART,4,0.6944444444444444,4,0.125,0.003315751999934946,[ $coupon \eq Bar$ [ $map \eq BAC2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $passanger \eq Friend(s)$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,4,0.6944444444444444,4,0.125,8.324231636000036,[ $coupon \eq Bar$ [ $map \eq BAC2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $map \eq NAC1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,4,0.6944444444444444,4,0.125,0.008953646999998455,[ $coupon \eq Bar$ [ $map \eq NAC1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $map \eq BAC2$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,OSDT,4,0.5740740740740741,1,0,0.01592060500001935,[ $class$ [ $1$ ] ]
adult,GOSDT,4,0.5740740740740741,1,0,0.017807634000064354,[ $class$ [ $1$ ] ]
adult,CART,5,0.6851851851851852,4,0.125,0.003700545000015154,[ $occupation \eq Computer & Mathematical$ [ $passanger \eq Kid(s)$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $coupon \eq Bar$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
